iter	Passed	Remaining
0	2	2629
1	5	2711
2	8	2687
3	10	2701
4	13	2597
5	15	2533
6	17	2494
7	20	2504
8	22	2457
9	25	2571
10	28	2593
11	32	2678
12	35	2689
13	38	2683
14	40	2647
15	43	2694
16	46	2673
17	48	2652
18	51	2655
19	53	2628
20	56	2627
21	60	2700
22	63	2684
23	65	2673
24	68	2673
25	71	2663
26	74	2681
27	76	2668
28	78	2641
29	81	2650
30	84	2651
31	89	2698
32	92	2708
33	95	2703
34	97	2691
35	100	2678
36	102	2666
37	105	2659
38	109	2692
39	112	2688
40	114	2683
41	117	2673
42	122	2724
43	125	2720
44	127	2713
45	131	2720
46	133	2706
47	136	2701
48	153	2971
49	157	3000
50	162	3017
51	168	3074
52	172	3076
53	175	3070
54	178	3072
55	182	3083
56	189	3142
57	193	3142
58	197	3142
59	199	3124
60	202	3115
61	205	3101
62	207	3082
63	210	3077
64	213	3066
65	217	3078
66	220	3072
67	222	3054
68	225	3040
69	228	3037
70	230	3022
71	233	3013
72	236	3000
73	239	2994
74	244	3019
75	248	3018
76	251	3010
77	253	2997
78	256	2986
79	259	2982
80	262	2974
81	264	2965
82	268	2961
83	271	2958
84	274	2952
85	276	2943
86	280	2943
87	283	2933
88	285	2923
89	288	2913
90	290	2904
91	293	2894
92	297	2903
93	301	2909
94	304	2896
95	305	2881
96	307	2865
97	310	2862
98	315	2870
99	318	2868
100	322	2867
101	332	2925
102	334	2917
103	337	2905
104	339	2896
105	342	2891
106	346	2893
107	349	2884
108	353	2892
109	356	2883
110	359	2881
111	362	2870
112	364	2858
113	367	2855
114	372	2865
115	375	2861
116	377	2852
117	387	2897
118	391	2899
119	394	2893
120	396	2883
121	399	2878
122	405	2890
123	408	2883
124	410	2876
125	413	2869
126	416	2863
127	421	2869
128	424	2868
129	428	2864
130	431	2861
131	439	2888
132	446	2909
133	449	2902
134	454	2910
135	456	2902
136	459	2896
137	463	2892
138	466	2887
139	469	2885
140	472	2877
141	475	2871
142	477	2863
143	480	2855
144	483	2852
145	486	2844
146	489	2837
147	492	2832
148	494	2826
149	497	2819
150	500	2815
151	504	2814
152	507	2811
153	512	2817
154	516	2816
155	521	2820
156	525	2822
157	529	2822
158	532	2814
159	535	2809
160	538	2804
161	541	2800
162	544	2793
163	547	2793
164	550	2785
165	552	2777
166	555	2770
167	557	2761
168	559	2752
169	563	2753
170	569	2759
171	580	2793
172	586	2803
173	590	2801
174	593	2796
175	603	2826
176	606	2818
177	609	2813
178	612	2808
179	615	2802
180	617	2795
181	625	2812
182	628	2806
183	631	2802
184	635	2798
185	637	2791
186	640	2783
187	643	2780
188	646	2773
189	648	2765
190	651	2760
191	654	2755
192	657	2750
193	661	2747
194	664	2742
195	667	2736
196	670	2731
197	673	2727
198	676	2722
199	678	2714
200	681	2709
201	684	2704
202	687	2700
203	691	2696
204	694	2693
205	697	2689
206	700	2682
207	704	2682
208	708	2681
209	711	2677
210	714	2671
211	717	2665
212	720	2661
213	725	2663
214	727	2654
215	730	2650
216	733	2646
217	737	2646
218	744	2655
219	747	2649
220	750	2645
221	754	2643
222	756	2637
223	759	2632
224	762	2626
225	765	2621
226	768	2616
227	770	2610
228	773	2604
229	776	2598
230	780	2597
231	785	2601
232	788	2595
233	790	2588
234	793	2581
235	796	2579
236	799	2572
237	802	2568
238	804	2560
239	807	2556
240	809	2550
241	812	2544
242	814	2536
243	817	2533
244	820	2529
245	823	2525
246	826	2519
247	828	2513
248	831	2506
249	834	2503
250	836	2497
251	839	2491
252	842	2488
253	848	2490
254	851	2486
255	853	2481
256	856	2476
257	859	2471
258	862	2466
259	865	2462
260	867	2457
261	870	2450
262	872	2445
263	875	2439
264	877	2434
265	881	2431
266	883	2424
267	885	2418
268	887	2412
269	889	2406
270	892	2400
271	895	2397
272	898	2392
273	900	2386
274	903	2381
275	905	2376
276	909	2373
277	913	2372
278	916	2368
279	919	2364
280	922	2360
281	926	2357
282	929	2354
283	932	2350
284	935	2347
285	938	2342
286	943	2344
287	947	2341
288	949	2336
289	952	2332
290	955	2327
291	957	2322
292	961	2319
293	964	2315
294	967	2311
295	969	2306
296	971	2300
297	974	2294
298	976	2288
299	978	2282
300	980	2276
301	984	2274
302	986	2269
303	989	2264
304	991	2258
305	993	2252
306	995	2247
307	998	2242
308	1000	2236
309	1002	2231
310	1007	2231
311	1010	2227
312	1013	2223
313	1016	2220
314	1018	2215
315	1021	2210
316	1024	2207
317	1027	2203
318	1030	2199
319	1033	2195
320	1038	2196
321	1041	2192
322	1043	2187
323	1047	2185
324	1050	2180
325	1054	2179
326	1056	2174
327	1059	2169
328	1061	2165
329	1064	2161
330	1068	2160
331	1071	2156
332	1075	2153
333	1078	2149
334	1080	2145
335	1084	2142
336	1087	2138
337	1090	2135
338	1092	2130
339	1095	2127
340	1097	2121
341	1100	2117
342	1102	2111
343	1104	2106
344	1106	2101
345	1110	2098
346	1112	2094
347	1115	2090
348	1118	2086
349	1121	2081
350	1124	2079
351	1127	2076
352	1130	2072
353	1133	2069
354	1136	2065
355	1139	2061
356	1142	2058
357	1145	2054
358	1150	2053
359	1153	2050
360	1155	2045
361	1157	2040
362	1160	2036
363	1162	2031
364	1165	2027
365	1168	2023
366	1171	2020
367	1174	2017
368	1177	2013
369	1181	2010
370	1183	2007
371	1187	2004
372	1190	2001
373	1193	1996
374	1196	1993
375	1198	1989
376	1201	1985
377	1204	1981
378	1206	1976
379	1208	1972
380	1211	1968
381	1214	1964
382	1217	1960
383	1220	1957
384	1222	1952
385	1224	1948
386	1227	1944
387	1231	1941
388	1234	1938
389	1236	1934
390	1238	1929
391	1241	1925
392	1244	1921
393	1246	1917
394	1248	1912
395	1251	1908
396	1253	1904
397	1256	1900
398	1260	1898
399	1263	1894
400	1265	1890
401	1267	1885
402	1270	1882
403	1273	1879
404	1277	1876
405	1280	1874
406	1284	1871
407	1286	1867
408	1289	1862
409	1291	1859
410	1294	1854
411	1296	1850
412	1299	1846
413	1301	1842
414	1303	1837
415	1306	1833
416	1308	1829
417	1311	1825
418	1313	1821
419	1315	1816
420	1318	1813
421	1321	1809
422	1323	1805
423	1325	1801
424	1328	1796
425	1330	1792
426	1333	1788
427	1336	1786
428	1339	1782
429	1341	1778
430	1344	1774
431	1346	1770
432	1348	1765
433	1350	1761
434	1353	1757
435	1355	1753
436	1357	1749
437	1360	1745
438	1362	1741
439	1364	1736
440	1366	1732
441	1369	1728
442	1371	1724
443	1373	1720
444	1375	1715
445	1377	1711
446	1379	1707
447	1382	1703
448	1386	1700
449	1388	1697
450	1390	1693
451	1393	1689
452	1396	1686
453	1402	1686
454	1405	1683
455	1408	1680
456	1410	1676
457	1415	1675
458	1418	1672
459	1421	1668
460	1423	1664
461	1426	1660
462	1428	1657
463	1433	1655
464	1435	1652
465	1438	1648
466	1440	1644
467	1442	1640
468	1446	1637
469	1449	1634
470	1452	1631
471	1454	1627
472	1456	1622
473	1458	1618
474	1460	1613
475	1462	1609
476	1465	1606
477	1467	1602
478	1469	1597
479	1471	1593
480	1472	1589
481	1474	1584
482	1478	1582
483	1481	1579
484	1483	1574
485	1485	1570
486	1487	1566
487	1490	1563
488	1492	1559
489	1494	1555
490	1496	1551
491	1498	1546
492	1500	1542
493	1501	1538
494	1503	1534
495	1505	1530
496	1507	1525
497	1509	1521
498	1511	1517
499	1513	1513
500	1515	1509
501	1517	1505
502	1519	1501
503	1521	1497
504	1523	1493
505	1525	1489
506	1527	1485
507	1530	1482
508	1532	1478
509	1534	1474
510	1536	1470
511	1538	1466
512	1540	1462
513	1542	1458
514	1544	1454
515	1546	1450
516	1548	1446
517	1550	1442
518	1553	1439
519	1555	1436
520	1558	1432
521	1560	1428
522	1563	1426
523	1565	1422
524	1568	1418
525	1571	1416
526	1574	1412
527	1576	1409
528	1578	1405
529	1580	1401
530	1582	1397
531	1584	1394
532	1587	1391
533	1590	1387
534	1593	1384
535	1595	1380
536	1597	1377
537	1599	1373
538	1602	1370
539	1605	1367
540	1607	1363
541	1609	1360
542	1611	1356
543	1613	1352
544	1615	1348
545	1617	1345
546	1620	1341
547	1622	1338
548	1624	1334
549	1626	1331
550	1629	1327
551	1631	1323
552	1633	1320
553	1636	1317
554	1639	1314
555	1642	1311
556	1645	1308
557	1647	1305
558	1650	1302
559	1653	1299
560	1656	1295
561	1658	1292
562	1660	1289
563	1663	1285
564	1665	1282
565	1668	1279
566	1670	1275
567	1672	1272
568	1675	1269
569	1678	1265
570	1680	1262
571	1684	1260
572	1687	1257
573	1690	1254
574	1693	1251
575	1696	1248
576	1699	1245
577	1702	1243
578	1705	1240
579	1708	1237
580	1710	1233
581	1713	1230
582	1715	1227
583	1720	1225
584	1722	1222
585	1725	1219
586	1729	1216
587	1731	1213
588	1734	1210
589	1736	1206
590	1739	1203
591	1742	1200
592	1744	1197
593	1746	1193
594	1748	1189
595	1750	1186
596	1752	1183
597	1754	1179
598	1757	1176
599	1759	1172
600	1761	1169
601	1763	1165
602	1766	1162
603	1768	1159
604	1770	1155
605	1772	1152
606	1775	1149
607	1777	1146
608	1780	1142
609	1783	1139
610	1786	1137
611	1788	1133
612	1791	1130
613	1793	1127
614	1795	1124
615	1797	1120
616	1799	1117
617	1801	1113
618	1804	1110
619	1806	1107
620	1808	1103
621	1810	1100
622	1812	1096
623	1814	1093
624	1817	1090
625	1819	1087
626	1823	1084
627	1826	1081
628	1828	1078
629	1831	1075
630	1834	1072
631	1837	1070
632	1840	1066
633	1842	1063
634	1844	1060
635	1847	1057
636	1849	1053
637	1851	1050
638	1854	1047
639	1856	1044
640	1859	1041
641	1861	1038
642	1863	1034
643	1865	1031
644	1868	1028
645	1870	1025
646	1872	1021
647	1875	1018
648	1877	1015
649	1880	1012
650	1882	1009
651	1885	1006
652	1888	1003
653	1891	1000
654	1894	997
655	1896	994
656	1899	991
657	1901	988
658	1904	985
659	1906	982
660	1909	979
661	1911	975
662	1913	972
663	1915	969
664	1917	965
665	1920	963
666	1923	960
667	1926	957
668	1928	954
669	1931	951
670	1934	948
671	1937	945
672	1939	942
673	1942	939
674	1945	936
675	1948	933
676	1951	931
677	1954	928
678	1957	925
679	1960	922
680	1963	919
681	1966	916
682	1970	914
683	1973	911
684	1976	908
685	1978	905
686	1981	902
687	1984	900
688	1987	897
689	1990	894
690	1994	891
691	1996	888
692	1999	885
693	2003	883
694	2006	880
695	2009	877
696	2012	874
697	2014	871
698	2017	868
699	2019	865
700	2022	862
701	2024	859
702	2026	856
703	2028	852
704	2030	849
705	2032	846
706	2034	843
707	2036	840
708	2038	836
709	2040	833
710	2042	830
711	2044	827
712	2046	823
713	2049	820
714	2050	817
715	2053	814
716	2054	811
717	2057	807
718	2059	805
719	2062	801
720	2064	798
721	2066	795
722	2068	792
723	2070	789
724	2072	786
725	2075	783
726	2077	780
727	2079	776
728	2082	774
729	2084	771
730	2086	767
731	2088	764
732	2090	761
733	2092	758
734	2094	755
735	2097	752
736	2099	749
737	2101	745
738	2103	742
739	2105	739
740	2107	736
741	2109	733
742	2111	730
743	2113	727
744	2115	724
745	2118	721
746	2120	718
747	2122	714
748	2124	711
749	2126	708
750	2128	705
751	2130	702
752	2132	699
753	2135	696
754	2138	693
755	2140	690
756	2143	688
757	2146	685
758	2149	682
759	2152	679
760	2155	676
761	2158	674
762	2160	671
763	2162	668
764	2165	665
765	2168	662
766	2171	659
767	2174	656
768	2176	653
769	2178	650
770	2181	647
771	2182	644
772	2184	641
773	2187	638
774	2189	635
775	2191	632
776	2193	629
777	2195	626
778	2197	623
779	2199	620
780	2201	617
781	2203	614
782	2206	611
783	2208	608
784	2211	605
785	2214	602
786	2216	599
787	2218	596
788	2220	593
789	2222	590
790	2225	588
791	2228	585
792	2230	582
793	2233	579
794	2236	576
795	2239	573
796	2242	571
797	2245	568
798	2248	565
799	2251	562
800	2253	559
801	2256	557
802	2258	554
803	2261	551
804	2263	548
805	2265	545
806	2268	542
807	2270	539
808	2272	536
809	2274	533
810	2276	530
811	2278	527
812	2280	524
813	2283	521
814	2285	518
815	2288	515
816	2290	513
817	2293	510
818	2295	507
819	2297	504
820	2299	501
821	2301	498
822	2303	495
823	2305	492
824	2307	489
825	2309	486
826	2311	483
827	2313	480
828	2315	477
829	2318	474
830	2320	471
831	2324	469
832	2326	466
833	2329	463
834	2331	460
835	2333	457
836	2335	454
837	2337	451
838	2339	448
839	2341	445
840	2343	443
841	2345	440
842	2347	437
843	2349	434
844	2351	431
845	2353	428
846	2355	425
847	2357	422
848	2359	419
849	2361	416
850	2364	413
851	2366	411
852	2368	408
853	2371	405
854	2374	402
855	2376	399
856	2378	396
857	2380	393
858	2382	391
859	2384	388
860	2385	385
861	2388	382
862	2389	379
863	2391	376
864	2393	373
865	2395	370
866	2397	367
867	2399	364
868	2401	362
869	2403	359
870	2405	356
871	2407	353
872	2409	350
873	2411	347
874	2413	344
875	2415	341
876	2417	339
877	2419	336
878	2421	333
879	2423	330
880	2425	327
881	2427	324
882	2429	321
883	2431	319
884	2433	316
885	2435	313
886	2437	310
887	2439	307
888	2441	304
889	2443	302
890	2446	299
891	2448	296
892	2450	293
893	2452	290
894	2454	287
895	2456	285
896	2458	282
897	2460	279
898	2462	276
899	2464	273
900	2466	270
901	2468	268
902	2470	265
903	2472	262
904	2475	259
905	2477	257
906	2479	254
907	2481	251
908	2483	248
909	2487	245
